Engineering Stress	Engineering Strain
-80817.49369	0
3747646.762	0.000239355
14195633.31	0.000594586
22952924.31	0.000909063
30882745.16	0.001213808
38396587.05	0.001518552
45437810.77	0.001823297
52003874.68	0.002127737
58099029.44	0.002430961
63859461.73	0.002735706
69305781.33	0.003040146
74411453.32	0.003344891
79226491.17	0.003649635
83719840.2	0.003951034
87948633.31	0.004255779
91941060.56	0.004560523
95721380.99	0.004864964
99237635.83	0.005169708
102494316.2	0.005474453
105556946.2	0.005777372
108415413	0.006082117
111122765.3	0.006386861
113604917.6	0.006691606
115960610.6	0.00699635
118110232.1	0.00729927
120183304.5	0.007604015
122104482.8	0.007908759
123889811.6	0.0082132
125564246.4	0.008517944
127104467.6	0.008821168
128556465.9	0.009124088
129910447.4	0.009428832
131175698.9	0.009733577
132308578.6	0.010038017
133382252.3	0.010341241
134394669.5	0.010644161
135295882.3	0.010948905
136144816.7	0.011251825
136912013.5	0.011556569
137621206.1	0.011861314
138266868.8	0.012164234
138877829.3	0.012468978
139415859.5	0.012773723
139934592.9	0.013078467
140398301.9	0.013381387
140817420.5	0.013686131
141198246.4	0.013989051
141557322.1	0.014292275
141855620.7	0.014597019
142150911.7	0.01490146
142454116.9	0.015206204
142699122	0.015509428
142952275	0.015812348
143156429.8	0.016117092
143377841.9	0.016423358
143564842.7	0.016728102
143735225.4	0.017031022
143899592.1	0.017334246
144060641.7	0.017638686
144206163.2	0.017943431
144351487	0.018248175
144478350.7	0.018551095
144600542.5	0.018855839
144708211.9	0.019160584
144815619	0.019463504
144925751.9	0.019770073
145031635.8	0.020072993
145123590.4	0.020377737
145219492	0.020680657
145294029.4	0.020985401
145382016.8	0.021290146
145443432.3	0.021594891
145498522.3	0.02189781
145558198.5	0.02220073
145633037	0.022505474
145673341.5	0.022810219
145742709	0.023116484
145798870.5	0.023419708
145836167.4	0.023722628
145885673.7	0.024025547
145914134.6	0.024332117
145965465.1	0.024636557
145998645.1	0.024941302
146034193.4	0.025244526
146070230.4	0.025547445
146112508.8	0.02585371
146150116.1	0.026156934
146179451.6	0.026461375
146201191.8	0.026762774
146218280.1	0.027065998
146256751.9	0.027372263
146277468.5	0.027675182
146300619	0.027979927
146305976.5	0.028284672
146345275	0.028587591
146357823.4	0.028890815
146367833.5	0.02919556
146413214.5	0.0295
146407677.9	0.029804745
146419220.4	0.030107968
146432332.2	0.030410888
146458651	0.030715633
146468604.7	0.031020377
146479649.3	0.031326642
146487986.5	0.031629562
146508035.3	0.031932786
146518233.8	0.032237226
146505168.2	0.032541971
146526326.3	0.032848236
146527350.7	0.03315146
146521570.2	0.03345438
146562382.7	0.033757603
146543047.9	0.034062044
146565032.8	0.034366788
146554768.7	0.034671533
146555558.5	0.034974453
146543273.3	0.035279197
146569629.1	0.035583942
146566067.3	0.035888686
146567110.2	0.036191606
146538902.4	0.03649635
146556555.1	0.03679927
146543827.6	0.037104015
